SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1075SCFL34,Z6,1000,1000,1000,1000,1000,960,23,23000.00,09-Jan-2025,3,INE148I07SR5
AAVAS,EQ,1680.75,1694,1674,1679.75,1678.55,1680.75,130454,219071189.05,09-Jan-2025,10483,INE216P01012
AWHCL,EQ,616.8,616.8,594,595.6,596,611.4,73291,44143093.40,09-Jan-2025,4636,INE01BK01022
BRACEPORT,ST,100.1,100.1,98,98,98,99,14400,1429520.00,09-Jan-2025,9,INE0R4Z01018
CONSOFINVT,EQ,203.15,212.44,203,203.19,203,205.25,8767,1805641.05,09-Jan-2025,406,INE025A01027
ONDOOR,ST,319.75,321.1,303.8,310,310,319.75,20700,6432120.00,09-Jan-2025,24,INE00ER01015
SJLOGISTIC,ST,608,627.65,600,618.65,619.95,608.55,30000,18518025.00,09-Jan-2025,110,INE0F3301020
IEML,SM,224,235,224,233.25,235,229,13000,2999425.00,09-Jan-2025,24,INE0RRU01016
JYOTISTRUC,EQ,24.82,27.44,24.82,25.5,25.65,25.15,33427722,885062968.33,09-Jan-2025,30939,INE197A01024
BSLGOLDETF,EQ,70.39,70.39,68.83,69.34,69.34,69.01,38755,2684193.13,09-Jan-2025,561,INF209KB18D3
APCL,EQ,160.35,160.39,157.36,157.95,157.7,157.98,5681,900549.17,09-Jan-2025,250,INE071F01012
ASHAPURMIN,EQ,485.1,497.95,467,473.95,474.45,484.65,634789,304377403.45,09-Jan-2025,11603,INE348A01023
BASML,EQ,54.55,54.6,51.4,51.9,51.53,53.75,55842,2949065.96,09-Jan-2025,549,INE186H01022
753IRFC30,NJ,1109,1109,1098.3,1100.14,1103.99,1096,649,713991.71,09-Jan-2025,11,INE053F07835
TIIL,EQ,2864.8,2878.2,2756.15,2783.3,2778.5,2864.8,7119,19979227.80,09-Jan-2025,2197,INE545H01011
VINYAS,ST,901.1,901.1,898.5,900,900,901.1,14400,12951880.00,09-Jan-2025,19,INE0OLS01010
LALPATHLAB,EQ,3009.5,3012.5,2964.8,3004.25,3003.6,2994.55,96472,288974168.25,09-Jan-2025,14670,INE600L01024
MCL,BE,51.66,51.85,49.5,50.48,51.6,51.85,50333,2528189.17,09-Jan-2025,308,INE813V01022
NAVNETEDUL,EQ,138.2,142,138.2,140.86,140.44,139.54,59110,8288005.17,09-Jan-2025,1767,INE060A01024
VIMTALABS,EQ,1006,1013.9,975.05,980.65,979,1002.35,36891,36576685.90,09-Jan-2025,3754,INE579C01029
ZENTEC,EQ,2477.5,2585,2458.55,2539.05,2522,2468.85,464707,1180335637.90,09-Jan-2025,31978,INE251B01027
PPLPHARMA,EQ,245.55,251.15,233.3,237.15,237.8,245.7,4058189,981017939.60,09-Jan-2025,64306,INE0DK501011
REFRACTORY,ST,80.45,84.95,78.85,80,80,83,47000,3789400.00,09-Jan-2025,25,INE0TNX01015
KREBSBIO,BE,95.95,96,92,95.25,95,94.2,2668,253360.27,09-Jan-2025,34,INE268B01013
SGBSEP31II,GB,8320,8399,8320,8366.93,8369.99,8320,590,4938604.31,09-Jan-2025,114,IN0020230093
BASF,EQ,5199.5,5590.4,5199.5,5277.5,5270,5193.55,107880,585752208.35,09-Jan-2025,25012,INE373A01013
EXICOM,EQ,262.59,262.59,262.59,262.59,262.59,250.09,52292,13731356.28,09-Jan-2025,506,INE777F01014
