SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6399.8,6399.8,6090,6105.25,6105.25,6406.25,1741,5048,31379431,
500003,"AEGIS LOGISTICS LTD.",A,STK,831.05,871.55,778.35,817.6,833.3,830.85,11362,417386,347464330,
500008,"Amara Raja Energy & Mobility L",A,STK,1075,1097.3,1027.85,1036.85,1036.85,1079.45,12899,159881,168725880,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,53.42,53.45,48.72,50.04,50.04,53.1,747,131430,6695926,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,69.25,70.99,67,67.87,67.87,71.02,1091,105107,7237149,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,9.22,9.68,9.2,9.56,9.2,9.68,16,6773,65276,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,6.92,7,6.68,6.87,6.98,7.06,162,14377,99124,
500016,"ARUNA HOTELS LTD.",X,STK,11.44,11.44,9.55,9.66,9.66,11.1,103,61675,618099,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,166.1,166.55,156.25,157.3,157.3,166.45,2339,125000,20174203,
500023,"ASIAN HOTELS (NORTH) LIMITED",T,STK,262.65,290,262.65,290,290,276.45,18,522,138323,
500027,"ATUL LTD.",A,STK,6795.85,6803,6595,6615.2,6613.75,6793.45,271,871,5809181,
500028,"ATV PROJECTS INDIA LTD.",X,STK,42.94,45,42.53,42.53,42.53,44.76,426,72220,3089611,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,775.5,775.5,725,735.35,740,759.35,303,1414,1051654,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,27.83,27.83,25.91,26.14,26.14,27.95,3434,832860,22214662,
500033,"FORCE MOTORS LTD.",A,STK,6531.95,6565.05,6268.55,6384,6358.9,6524.25,691,2128,13622421,
500034,"BAJAJ FINANCE LIMITED",A,STK,7220.05,7252,7131.3,7147.1,7157.95,7277.45,2294,9674,69587895,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,475.2,484.3,457.05,462,460.8,490.25,2067,46151,21847772,
500039,"BANCO PRODUCTS (INDIA) LTD.",B,STK,464.85,469.15,436.55,442.4,442.4,475.05,2715,61340,27804842,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,2031.25,2050.2,1880.5,1896.35,1906.35,2081.2,3010,22157,43576745,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3650.1,3670,3600,3648,3648,3670.05,21,62,224151,
500042,"BASF INDIA LTD.",A,STK,5055,5112.65,4768.85,4834.4,4834.4,5115.3,1310,6974,34320269,
500043,"BATA INDIA LTD.",A,STK,1422.3,1422.3,1360,1363.3,1363.3,1426.35,3606,36447,50126535,
500048,"BEML LTD.",A,STK,3665.5,3673.25,3560,3599.55,3599.55,3699.8,1430,9559,34447280,
500049,"BHARAT ELECTRONICS LTD.",A,STK,264.35,268.9,258.3,259.55,259.55,271,29676,1399059,368991852,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,121.2,122,117.1,119.3,119.05,122.55,2274,98059,11731478,
500058,"BIHAR SPONGE IRON LTD.",X,STK,16.35,16.35,15.09,15.09,15.09,15.88,155,61084,923554,
500059,"BINANI INDUSTRIES LTD.",B,STK,13.3,13.3,12.69,12.7,12.69,13.35,90,4827,62263,
500060,"Birla Cable Limited",B,STK,196.15,197.95,182.85,189.2,189.2,198.9,712,9179,1774516,
500067,"BLUE STAR LTD.",A,STK,1935.85,1953,1772.1,1854.75,1854.75,1975.4,2930,33965,63249019,
500068,"DISA INDIA LTD.",B,STK,16008,16008,15501.55,15683.65,15650,16000,47,119,1886026,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,477.1,477.1,435.05,458.85,438.1,470.1,78,1672,747457,
500074,"BPL LTD.",B,STK,98.5,101.15,92.4,93.3,93.3,99.7,1118,43442,4168771,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,361.55,395.2,361.55,378.45,375.25,395.3,458,4269,1640911,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,23.35,23.35,20.7,21.04,21.04,23,436,39660,860372,
500084,"CESC LTD.",A,STK,161.65,161.65,150.7,152,152,162.5,8550,521102,80993880,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,472.6,478.5,452.1,454.4,454.4,481.4,3227,65561,30445553,
500086,"EXIDE INDUSTRIES LTD.",A,STK,385.05,390.3,371.25,372.55,372.55,389.25,14150,390780,149082799,
500087,"CIPLA LTD.",A,STK,1450.35,1461.25,1435.05,1438.8,1438.8,1470.05,3710,25614,37082998,
500089,"DIC INDIA LTD.",B,STK,642.95,647.95,603.05,603.2,603.2,662.35,40,240,153072,
500092,"CRISIL LTD.",A,STK,5676,5930,5609.45,5798,5792.8,5678.95,1738,5650,32920946,
500093,"CG Power and Industrial Soluti",A,STK,630.3,643.3,608.25,614.45,614.45,650.3,13181,311586,193923086,
500096,"DABUR INDIA LTD.",A,STK,517.5,519.45,509.3,510.8,511.6,517.8,3067,161187,83180940,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,349.5,349.5,323.8,325.85,325.3,347.15,553,6623,2211475,
500101,"ARVIND LTD.",A,STK,383.95,384.2,368.45,380.1,384.2,384.4,1177,23801,8937682,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,200.4,200.95,191.8,192.6,192.6,204.5,25101,1298589,255173891,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,383.6,383.6,360.4,364.5,364.5,388.4,7828,333495,121946846,
500106,"IFCI LTD.",A,STK,54.16,55.24,51.21,51.43,51.43,54.29,9511,1580660,83829689,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",A,STK,43.99,45.71,42.37,43.04,43.04,45.15,3908,542018,23795852,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,139.45,144.1,133.15,134.2,134.2,140.7,1523,108353,15043322,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,595.05,621.65,572.75,574.45,575.95,601.9,4261,127998,75918780,
500112,"STATE BANK OF INDIA",A,STK,742.95,743.85,722.5,729.6,729.6,743.15,10747,300275,220573378,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,105.7,105.7,99.55,100,100,106,9719,1838825,189820239,
500114,"TITAN COMPANY LIMITED",A,STK,3371.65,3465.9,3337.7,3378.3,3387.8,3439.35,3857,49249,168052351,
500116,"IDBI BANK LTD.",A,STK,68.93,69.35,65.89,66.18,66.18,69.4,1913,335571,22612142,
